№,Слово,Часть речи
1,и,союз
2,в,предлог
3,не,частица
4,на,предлог
5,я,местоимение
7,с,предлог
8,он,местоимение
9,что,союз
10,а,союз
11,это,местоимение
12,этот,местоимение
13,по,предлог
14,к,предлог
15,но,союз
16,они,местоимение
17,мы,местоимение
18,она,местоимение
19,как,союз
20,то,местоимение
21,который,местоимение
22,из,предлог
23,у,предлог
24,свой,местоимение
25,вы,местоимение
26,весь,местоимение
27,за,предлог
28,для,предлог
29,от,предлог
31,так,местоимение
32,ты,местоимение
33,о,предлог
34,что,местоимение
36,же,частица
39,такой,местоимение
40,тот,местоимение
41,или,союз
42,если,союз
43,только,частица
44,его,местоимение
45,один,местоимение
46,бы,частица
47,себя,местоимение
50,другой,местоимение
52,когда,союз
54,до,предлог
55,мой,местоимение
56,наш,местоимение
57,чтобы,союз
60,самый,местоимение
62,вот,частица
64,кто,местоимение
65,при,предлог
70,сам,местоимение
74,даже,частица
78,их,местоимение
80,какой,местоимение
82,со,предлог
83,там,местоимение
84,после,предлог
86,ли,частица
87,где,местоимение
91,её,местоимение
92,под,предлог
97,каждый,местоимение
98,без,предлог
100,ну,частица
105,просто,частица
107,чем,союз
109,ваш,местоимение
111,здесь,местоимение
115,потом,местоимение
116,да,союз
117,ничто,местоимение
119,сейчас,местоимение
120,через,предлог
123,теперь,местоимение
127,ни,частица
131,тогда,местоимение
132,тут,местоимение
134,тоже,частица
147,также,частица
148,всегда,местоимение
155,между,предлог
157,хотя,союз
167,перед,предлог
168,лишь,частица
169,именно,частица
171,поэтому,местоимение
172,почему,местоимение
174,любой,местоимение
175,однако,союз
176,никто,местоимение
181,над,предлог
190,некоторый,местоимение
193,многие,местоимение
198,всё,местоимение
208,твой,местоимение
211,пока,союз
217,что-то,местоимение
218,ведь,частица
221,никогда,местоимение
243,никакой,местоимение
245,оно,местоимение
267,про,предлог
271,кроме,предлог
282,всякий,местоимение
353,данный,местоимение
362,иной,местоимение
365,куда,местоимение
374,против,предлог
381,среди,предлог
409,поскольку,союз
429,из-за,предлог
436,около,предлог
455,либо,союз
502,сей,местоимение
512,зачем,местоимение
563,остальной,местоимение
570,туда,местоимение
571,пусть,частица
590,какой-то,местоимение
591,всё-таки,частица
609,как-то,местоимение
610,хоть,частица
624,причём,союз
657,словно,союз
676,лучше,частица
682,кто-то,местоимение
707,вместо,предлог
734,ибо,союз
756,сюда,местоимение
766,всего,частица
777,разве,частица
778,вокруг,предлог
804,столь,местоимение
805,откуда,местоимение
831,иначе,местоимение
845,пожалуйста,частица
869,будто,частица
890,некий,местоимение
892,прежде,предлог
905,спасибо,частица
913,никак,местоимение
997,благодаря,предлог
999,многое,местоимение
1027,где-то,местоимение
1048,ради,предлог
1061,зато,союз
1088,вроде,частица
1126,чего,местоимение
1160,что-нибудь,местоимение
1193,ладно,частица
1206,прочий,местоимение
1254,нечто,местоимение
1267,сквозь,предлог
1304,согласно,предлог
1317,отсюда,местоимение
1410,возле,предлог
1440,чей,местоимение
1469,внутри,предлог
1478,почему-то,местоимение
1507,спустя,предлог
1551,неужели,частица
1638,таков,местоимение
1620,мимо,предлог
1648,нечего,местоимение
1710,оттуда,местоимение
1663,вне,предлог
1786,когда-то,местоимение
1811,каков,местоимение
1789,вдоль,предлог
1856,везде,местоимение
2149,таковой,местоимение
1866,включая,предлог
1870,помимо,предлог
1895,давай,частица
1896,насчёт,предлог
2008,из-под,предлог
2152,какой-нибудь,местоимение
2326,куда-то,местоимение
2224,вон,частица
2250,угодно,частица
2392,никуда,местоимение
2510,кто-нибудь,местоимение
2669,когда-нибудь,местоимение
2675,нигде,местоимение
3340,по-другому,местоимение
2625,плюс,союз
3514,что-либо,местоимение
2672,якобы,частица
3595,где-нибудь,местоимение
3008,вследствие,предлог
3871,всюду,местоимение
4253,нисколько,местоимение
1566,ах,междометие
3766,ниже,предлог
3821,себе,частица
2266,ой,междометие
2337,увы,междометие
3967,ура,междометие
4383,поверх,предлог
4526,стоп,междометие
4590,вблизи,предлог
4725,поперёк,предлог
